,matches,likes,like_with_message,dislikes,males,females,messages
0,134,8742,3613,71218,676,324,70
1,119,8479,3436,71480,682,318,74
2,123,8647,3602,71304,695,305,88
3,148,8614,3524,71355,690,310,110
4,151,8647,3524,71141,661,339,83
5,135,8571,3571,71283,665,335,91
6,140,8573,3385,71401,677,323,92
7,121,8645,3609,71327,668,332,78
8,124,8643,3511,71326,685,315,86
9,124,8822,3547,71126,700,300,82
10,131,8718,3602,71235,692,308,97
11,118,8660,3622,71095,710,290,93
12,119,8637,3569,71330,683,317,82
13,127,8679,3552,71138,694,306,111
14,129,8703,3625,71261,682,318,93
15,154,8678,3602,71296,697,303,107
16,116,8635,3555,71102,685,315,81
17,141,8580,3543,71358,693,307,99
18,120,8464,3394,71484,700,300,72
19,151,8415,3433,71547,659,341,104
20,130,8719,3561,71234,674,326,94
21,133,8633,3533,71103,704,296,109
22,114,8476,3393,71494,702,298,78
23,105,8504,3465,71326,674,326,55
24,114,8605,3472,71184,686,314,93
